track,duration_s,n_notes,density_notes_per_s,polyphony_mean,polyphony_p95,drum_share,median_dur_s,mean_pitch,n_groups,groups,n_chunks,tokens_total,tokens_per_note,chunk_tokens_max,chunk_tokens_mean,empty_chunks,durfrac_0.0-0.1,durfrac_0.1-0.25,durfrac_0.25-0.5,durfrac_0.5-1.0,durfrac_1.0-2.0,durfrac_>=2.0,split
Track01975,249.56,8173,33.471,11.015,20.0,0.3125,0.13,54.96,8,drums:2554;acoustic_piano:2380;string_ensemble:1289;clean_electric_guitar:613;electric_piano:514;synth_lead:360;electric_bass:304;voice:159,51,44654,5.464,1531,875.6,0,0.4054,0.3591,0.1609,0.0415,0.0136,0.0196,test
Track01978,294.55,6519,22.201,9.089,22.0,0.3554,0.21,60.59,12,drums:2317;clean_electric_guitar:1135;electric_piano:803;synth_pad:631;acoustic_guitar:584;acoustic_piano:377;acoustic_bass:237;distorted_electric_guitar:134;brass_section:105;string_ensemble:84;synth_lead:64;voice:48,60,35563,5.455,939,592.7,0,0.2056,0.3507,0.117,0.0581,0.2479,0.0207,test
Track01982,157.89,6118,39.213,3.418,7.0,0.2828,0.02,56.35,7,acoustic_guitar:3741;drums:1730;acoustic_bass:302;soprano_and_alto_sax:187;acoustic_piano:68;organ:51;synth_strings:39,33,31934,5.22,1164,967.7,0,0.6263,0.1729,0.1713,0.0127,0.0059,0.0108,test
Track01987,283.75,4401,15.672,6.877,15.0,0.3497,0.25,59.57,12,drums:1539;acoustic_piano:818;string_ensemble:596;chromatic_percussion:383;electric_piano:377;electric_bass:221;distorted_electric_guitar:134;acoustic_guitar:109;singleton_110:84;voice:80;singleton_105:40;flutes:20,58,24313,5.524,654,419.2,0,0.2858,0.1911,0.1795,0.1716,0.0877,0.0843,test
Track01990,424.13,6340,14.948,3.579,9.0,0.365,0.1,55.01,11,drums:2314;clean_electric_guitar:766;electric_bass:721;electric_piano:620;voice:548;synth_pad:441;string_ensemble:406;synth_strings:320;acoustic_bass:155;organ:45;soprano_and_alto_sax:4,85,33934,5.352,677,399.2,0,0.4741,0.2215,0.132,0.0692,0.0552,0.0479,test
Track01993,328.03,6259,19.208,5.092,10.0,0.6282,0.02,53.33,10,drums:3932;acoustic_guitar:727;acoustic_bass:445;electric_piano:405;synth_strings:242;acoustic_piano:221;string_ensemble:119;clean_electric_guitar:100;singleton_108:61;chromatic_percussion:7,66,24266,3.877,570,367.7,0,0.6953,0.0685,0.0973,0.0351,0.0323,0.0714,test
Track01995,237.17,2497,10.623,6.344,12.0,0.3781,0.02,53.87,8,drums:944;electric_piano:630;clean_electric_guitar:260;acoustic_guitar:225;electric_bass:205;synth_strings:152;string_ensemble:51;singleton_102:30,49,13235,5.3,452,270.1,0,0.521,0.0176,0.0481,0.0981,0.2038,0.1113,test
Track02001,384.84,11653,30.478,6.308,14.0,0.4619,0.08,58.42,8,drums:5383;clean_electric_guitar:2267;electric_piano:1617;electric_bass:922;singleton_114:762;soprano_and_alto_sax:558;french_horn:72;flutes:72,77,53221,4.567,1178,691.2,0,0.5938,0.1765,0.1296,0.0481,0.0447,0.0073,test
Track02004,207.98,5113,24.837,3.12,7.0,0.2775,0.25,52.38,8,drums:1419;clean_electric_guitar:1207;acoustic_piano:873;acoustic_bass:597;organ:411;voice:365;brass_section:123;string_ensemble:118,42,30514,5.968,962,726.5,0,0.2998,0.186,0.2656,0.1166,0.0804,0.0516,test
Track02005,199.1,3872,19.448,2.303,5.0,0.3401,0.18,51.73,6,drums:1317;acoustic_piano:1080;acoustic_guitar:887;electric_bass:343;viola:181;clean_electric_guitar:64,41,21246,5.487,768,518.2,0,0.3856,0.1826,0.1423,0.2322,0.0522,0.0052,test
Track02014,257.62,5852,22.983,10.271,17.0,0.1844,0.38,54.28,9,drums:1079;electric_bass:905;singleton_106:903;acoustic_guitar:850;electric_piano:510;acoustic_piano:453;chromatic_percussion:394;synth_pad:394;acoustic_bass:364,52,35181,6.012,961,676.6,0,0.0,0.0309,0.7657,0.0651,0.1304,0.0079,test
Track02019,287.83,3502,12.368,4.645,8.0,0.3966,0.22,52.08,8,drums:1389;acoustic_piano:610;synth_pad:456;electric_bass:432;acoustic_guitar:432;prog100:68;string_ensemble:63;distorted_electric_guitar:52,58,18381,5.249,406,316.9,0,0.3275,0.2519,0.1953,0.1493,0.0728,0.0031,test
Track02026,160.94,4482,28.13,8.171,13.0,0.1254,0.17,52.93,8,electric_piano:1720;acoustic_guitar:598;drums:562;electric_bass:522;distorted_electric_guitar:414;organ:322;voice:219;tenor_sax:125,33,29824,6.654,1351,903.8,0,0.2706,0.3757,0.2675,0.058,0.0225,0.0056,test
Track02029,261.27,2847,11.025,5.351,9.0,0.2557,0.45,59.4,7,acoustic_guitar:1298;drums:728;clarinet:205;organ:197;clean_electric_guitar:177;acoustic_bass:162;electric_piano:80,53,16917,5.942,488,319.2,0,0.2757,0.0794,0.1921,0.294,0.1022,0.0566,test
Track02030,345.0,8052,23.534,4.809,10.0,0.4352,0.14,56.81,9,drums:3504;clean_electric_guitar:2133;electric_piano:666;electric_bass:550;flutes:505;string_ensemble:256;voice:193;singleton_98:151;trumpet:94,71,39226,4.872,847,552.5,0,0.1154,0.7027,0.0374,0.032,0.0484,0.0641,test
Track02037,320.73,8323,26.109,3.53,7.0,0.5446,0.01,56.97,8,drums:4533;clean_electric_guitar:1299;acoustic_bass:839;distorted_electric_guitar:457;voice:366;electric_piano:322;string_ensemble:315;synth_pad:192,65,37723,4.532,859,580.4,0,0.5856,0.273,0.0549,0.0079,0.012,0.0666,test
Track02038,287.24,4963,17.475,7.411,15.0,0.1799,0.43,60.01,11,acoustic_piano:1598;drums:893;acoustic_guitar:836;string_ensemble:523;clean_electric_guitar:466;electric_bass:277;distorted_electric_guitar:184;voice:98;electric_piano:39;french_horn:31;soprano_and_alto_sax:18,58,31170,6.28,842,537.4,0,0.2059,0.1965,0.1846,0.2537,0.1191,0.0403,test
Track02044,186.51,8241,44.185,9.158,16.0,0.2149,0.19,52.52,8,acoustic_piano:1973;drums:1771;clean_electric_guitar:1643;acoustic_guitar:1603;electric_bass:428;synth_lead:333;viola:302;brass_section:188,39,50951,6.183,1802,1306.4,0,0.3017,0.3178,0.2297,0.1227,0.0201,0.008,test
Track02045,258.02,8690,34.318,3.642,8.0,0.2965,0.13,55.2,11,acoustic_guitar:3178;drums:2577;singleton_115:768;distorted_electric_guitar:638;synth_lead:556;string_ensemble:387;electric_bass:369;clean_electric_guitar:91;acoustic_piano:71;electric_piano:53;synth_pad:2,53,49156,5.657,1466,927.5,0,0.3567,0.4583,0.0709,0.0395,0.0314,0.0432,test
Track02047,360.93,12137,33.826,7.748,15.0,0.2936,0.07,52.63,8,clean_electric_guitar:3600;drums:3563;acoustic_piano:2149;electric_bass:1135;electric_piano:628;brass_section:376;tenor_sax:356;string_ensemble:330,73,66769,5.501,1251,914.6,0,0.6013,0.217,0.0838,0.0082,0.0473,0.0423,test
Track02048,287.38,8216,28.793,4.412,10.0,0.1605,0.08,57.25,13,clean_electric_guitar:1867;drums:1319;singleton_108:1045;string_ensemble:889;acoustic_piano:591;acoustic_bass:524;synth_lead:477;flutes:466;distorted_electric_guitar:454;acoustic_guitar:332;chromatic_percussion:186;electric_piano:57;synth_pad:9,59,54091,6.584,1888,916.8,0,0.5501,0.2188,0.1549,0.0359,0.0264,0.0138,test
Track02049,190.77,9453,49.552,5.165,10.0,0.22,0.12,51.21,8,acoustic_piano:3135;drums:2080;electric_piano:1408;electric_bass:1138;distorted_electric_guitar:1010;voice:362;baritone_sax:263;soprano_and_alto_sax:57,39,55804,5.903,1918,1430.9,0,0.3652,0.5788,0.0481,0.0077,0.0,0.0002,test
Track02052,223.87,5452,24.353,6.015,15.0,0.3349,0.15,54.62,13,drums:1826;electric_piano:1034;acoustic_guitar:583;electric_bass:490;clean_electric_guitar:362;synth_pad:336;string_ensemble:318;chromatic_percussion:230;flutes:137;french_horn:80;trumpet:25;tenor_sax:24;baritone_sax:7,45,29973,5.498,1057,666.1,0,0.2799,0.3577,0.0987,0.15,0.0985,0.0152,test
Track02053,290.71,8157,28.331,2.76,6.0,0.402,0.11,58.19,12,drums:3279;clean_electric_guitar:1519;electric_bass:815;synth_pad:483;string_ensemble:433;organ:388;voice:352;flutes:351;acoustic_piano:280;soprano_and_alto_sax:137;electric_piano:81;brass_section:39,59,43435,5.325,1395,736.2,0,0.4651,0.215,0.1795,0.0655,0.0195,0.0554,test
Track02061,313.88,6522,21.21,3.119,7.949999999999818,0.1283,0.37,56.15,9,acoustic_guitar:2335;distorted_electric_guitar:1027;drums:837;clean_electric_guitar:789;synth_pad:485;acoustic_bass:374;electric_piano:354;acoustic_piano:194;flutes:127,63,42318,6.489,1262,671.7,0,0.1751,0.261,0.197,0.2151,0.1007,0.0511,test
Track02063,353.44,5214,15.057,4.158,10.0,0.2614,0.27,55.8,12,drums:1363;acoustic_piano:877;distorted_electric_guitar:583;synth_lead:519;voice:452;clean_electric_guitar:421;acoustic_bass:293;organ:281;electric_piano:206;acoustic_guitar:118;string_ensemble:71;synth_pad:30,72,31389,6.02,992,436.0,0,0.3136,0.182,0.1845,0.1233,0.0698,0.1268,test
Track02070,249.4,4505,18.535,5.081,13.0,0.3947,0.21,56.79,8,drums:1778;electric_piano:1068;clean_electric_guitar:769;acoustic_bass:342;brass_section:171;distorted_electric_guitar:147;string_ensemble:135;synth_pad:95,51,23238,5.158,823,455.6,0,0.416,0.117,0.1423,0.2155,0.0923,0.0169,test
Track02074,294.3,7597,25.989,5.902,12.0,0.4572,0.06,54.72,9,drums:3473;electric_piano:1521;clean_electric_guitar:854;acoustic_bass:713;chromatic_percussion:434;soprano_and_alto_sax:294;string_ensemble:218;synth_pad:65;acoustic_guitar:25,59,35795,4.712,1136,606.7,0,0.5604,0.2064,0.1032,0.0566,0.0515,0.022,test
Track02083,152.99,3112,20.748,2.61,6.0,0.3747,0.3,57.62,7,drums:1166;acoustic_piano:695;electric_piano:430;string_ensemble:347;organ:220;electric_bass:191;distorted_electric_guitar:63,32,16497,5.301,922,515.5,0,0.1542,0.3049,0.3528,0.0993,0.0479,0.0408,test
Track02086,288.2,6299,21.895,3.161,6.0,0.5053,0.08,50.49,6,drums:3183;electric_piano:1116;clean_electric_guitar:833;electric_bass:545;distorted_electric_guitar:335;flutes:287,59,30013,4.765,680,508.7,0,0.5123,0.1951,0.13,0.11,0.0443,0.0083,test
Track02087,233.5,4167,17.846,8.31,13.0,0.2121,0.33,55.34,6,acoustic_guitar:1514;drums:884;voice:497;electric_bass:495;acoustic_piano:479;clean_electric_guitar:298,47,24561,5.894,980,522.6,0,0.0014,0.0689,0.6266,0.2714,0.0166,0.0151,test
Track02088,217.1,5578,26.434,3.592,9.0,0.3024,0.15,60.3,11,acoustic_guitar:1986;drums:1687;acoustic_piano:555;string_ensemble:540;synth_lead:399;electric_bass:235;organ:97;voice:48;synth_pad:22;clean_electric_guitar:8;cello:1,45,30154,5.406,1433,670.1,0,0.4826,0.0744,0.1393,0.1542,0.1065,0.043,test
Track02092,206.02,5197,25.487,3.153,7.0,0.273,0.25,52.31,9,clean_electric_guitar:1484;drums:1419;acoustic_piano:873;acoustic_bass:597;organ:411;brass_section:123;string_ensemble:118;trombone:94;voice:78,42,30720,5.911,1017,731.4,0,0.3079,0.1874,0.2619,0.1039,0.0827,0.0562,test
Track02098,73.4,929,12.657,5.702,10.0,0.3219,0.4,52.2,5,drums:299;acoustic_guitar:236;electric_piano:194;acoustic_piano:139;acoustic_bass:61,15,5111,5.502,441,340.7,0,0.0011,0.2842,0.2648,0.2045,0.2379,0.0075,test
